x_m,y_m,z_m,dir_x,dir_y,dir_z
3.9014025878906251,0.16619310379028321,0,-0.33789920806884766,-0.014721360988914967,-0.94106716376520094
0.084717273712158203,1.3689646911621094,0,-0.33653056621551514,-0.014345508068799973,-0.9415632662763096
-0.81139068603515629,0.98540657043457036,0,-0.33748495578765869,-0.014647232368588448,-0.94121695862375032
-1.9832498168945314,-2.3041714477539061,0,-0.34693503379821777,-0.010835247114300728,-0.93782657231675914
-0.29552152633666995,-2.0829032897949218,0,-0.33843141794204712,-0.01456572487950325,-0.94087832104288072
0.21760885238647462,2.5554870605468749,0,-0.33844184875488281,-0.014149166643619537,-0.9408809255663908
-1.2820429992675781,-0.91630081176757816,0,-0.33857032656669617,-0.014433603733778,-0.94083038059566138
-3.0809317016601563,-1.4860083007812501,0,-0.33881938457489014,-0.014429565519094467,-0.9407407784694054
2.6780566406249999,-2.2748933410644532,0,-0.3384038507938385,-0.014488092623651028,-0.9408894350241318
-0.84270187377929684,3.3496237182617188,0,-0.33870711922645569,-0.013966724276542664,-0.94078818976340184
0.46962306976318358,-1.6193771362304688,0,-0.33862239122390747,-0.014374882914125919,-0.94081254185039864
-1.2840710449218751,-3.7311697387695313,0,-0.33991095423698425,-0.014112361706793308,-0.94035173442534759
-0.895577621459961,3.3854940795898436,0,-0.35248574614524841,-0.0004186775186099112,-0.93581708868430202
1.2562289428710938,-2.4786262512207031,0,-0.33670046925544739,-0.014380150474607944,-0.9415019943024493
0.072355484962463384,-0.20301347732543945,0,-0.33983650803565979,-0.014530710875988007,-0.94037227003329238
-3.0650991821289062,1.1098722839355468,0,-0.33986470103263855,-0.014086938463151455,-0.94036883357368384
-0.20595331192016603,-1.4864935302734374,0,-0.33961367607116699,-0.014351397752761841,-0.94045552175951974
0.50506961822509766,2.9976019287109374,0,-0.33956384658813477,-0.013893506489694118,-0.94048039031533803
1.9649771118164063,-3.11456298828125,0,-0.33943596482276917,-0.014515921473503113,-0.9405171523202599
-0.4260361099243164,1.3862135314941406,0,-0.33972492814064026,-0.01403659675270319,-0.94042009078466571
0.10146549224853516,3.3179937744140626,0,-0.33978539705276489,-0.013799182139337063,-0.94040175803854187
1.4907295227050781,-3.0269335937499999,0,-0.34392416477203369,-0.012432978488504887,-0.93891511327263411
1.7292730712890625,-2.981861572265625,0,-0.34389752149581909,-0.01242500077933073,-0.9389249778681289
0.7650792694091797,1.7543672180175782,0,-0.34401586651802063,-0.01178250927478075,-0.9388899062504853
0.96800918579101569,1.7877891540527344,0,-0.34399276971817017,-0.011777897365391254,-0.93889842662306788
-0.61540821075439456,-1.1739399719238282,0,-0.33972260355949402,-0.014235071837902069,-0.94041794717058047
0.41379081726074218,-0.89919593811035159,0,-0.33963385224342346,-0.014192836359143257,-0.94045064187674143
-1.5032583618164064,2.8805780029296875,0,-0.3398003876209259,-0.013674795627593994,-0.9403981585143667
2.3863757324218748,-0.11805671691894531,0,-0.33949455618858337,-0.013954323716461658,-0.9405045045973639
1.1246681213378906,-1.0648336791992188,0,-0.34364926815032959,-0.013107798993587494,-0.93900658469751241
3.15861083984375,-2.4702684020996095,0,-0.34032374620437622,-0.013152416795492172,-0.94021633771268676
-0.37024715423583987,-0.46562923431396486,0,-0.34148216247558594,-0.012750018388032913,-0.93980177151466493
3.8654971313476563,-1.5310110473632812,0,-0.34101596474647522,-0.012857148423790932,-0.93996957691323146
0.34531745910644535,1.2623275756835939,0,-0.3415377140045166,-0.012344110757112503,-0.93978700397599946
-0.54531257629394536,0.73980056762695312,0,-0.34163674712181091,-0.012404675595462322,-0.93975020991718816
2.7217382812499999,1.4286227416992188,0,-0.34285432100296021,-0.0092344237491488457,-0.93934319606181227
0.96969497680664063,2.5285861206054689,0,-0.3430887758731842,-0.0090608801692724228,-0.93925927853835867
2.5061767578125003,-1.7272364807128906,0,-0.34114369750022888,-0.0064050424844026566,-0.93998933668773355
2.6612814331054686,0.76854461669921881,0,-0.34051606059074402,-0.0056197619996964931,-0.9402219050600914
1.6684320068359375,0.1416017246246338,0,-0.34067553281784058,-0.005730554461479187,-0.94016346561906161
0.98731483459472658,-0.82966285705566412,0,-0.34096375107765198,-0.0058071566745638847,-0.94005850742515706
-1.613805389404297,-2.2720100402832033,0,-0.34198236465454102,-0.0076869148761034012,-0.93967492975229261
-3.3520941162109374,0.74970367431640628,0,-0.34057497978210449,-0.013619774952530861,-0.94011870786441731
0.94953948974609381,3.0671661376953128,0,-0.3398364782333374,-0.013561499305069447,-0.94038675756231327
1.1890973663330078,-0.55052062988281247,0,-0.34008383750915527,-0.014915408566594124,-0.94027682841402516
-2.1317759704589845,-1.4279667663574218,0,-0.34672471880912781,-0.012178108096122742,-0.93788787338888779
-2.6795611572265625,-1.0170265197753907,0,-0.3468666672706604,-0.012128132395446301,-0.93783603233248802
4.2064437866210938,-0.15645764350891114,0,-0.34605732560157776,-0.01200516801327467,-0.9381365590032491
2.0862854003906248,-0.50605010986328125,0,-0.34646397829055786,-0.01199918519705534,-0.93798653044789859
-1.5049084472656251,3.40474609375,0,-0.34725850820541382,-0.010865430347621441,-0.9377064950731181
-0.48531414031982423,2.4326213073730467,0,-0.34708517789840698,-0.011055471375584602,-0.93776844467911946
-2.79880615234375,1.7478770446777343,0,-0.36182016134262085,-0.020034927874803543,-0.93203260270821597
-2.2843338012695313,0.72548995971679686,0,-0.3616994321346283,-0.020352395251393318,-0.93207258344026966
