# wavelength_nm,flux_ph_s_nm_sr_m2
# source=ESO SkyCalc via skycalc_ipy; observatory=paranal; airmass=1.2; incl_moon=Y; moon_sun_sep=90; moon_target_sep=60; moon_alt=30; pwv=2.5; msolflux=130; wmin=300 nm; wmax=900 nm; wdelta=1 nm
# unit_conversion=SkyCalc ph/(s um arcsec^2 m^2) * (206265^2) / 1000 -> ph/(s nm sr m^2)
wavelength_nm,flux_ph_s_nm_sr_m2
355.947225,1.5705656196e+10
356.303350,1.6223738151e+10
356.659832,1.3646813097e+10
357.016670,1.2410919279e+10
357.373865,1.2483607208e+10
357.731418,1.3217443230e+10
358.089328,1.1465389089e+10
358.447596,1.1269818738e+10
358.806223,1.0909949405e+10
359.165209,1.3626129860e+10
359.524554,1.4578684268e+10
359.884258,1.5656529701e+10
360.244322,1.5382422500e+10
360.604747,1.3514726006e+10
360.965532,1.2234309540e+10
361.326678,1.3415205323e+10
361.688186,1.5392192579e+10
362.050055,1.3572522845e+10
362.412286,1.5291020761e+10
362.774879,1.6528233312e+10
363.137836,1.5035688787e+10
363.501155,1.5088718432e+10
363.864838,1.5938074852e+10
364.228885,1.6541537772e+10
364.593296,1.4632869937e+10
364.958072,1.3962218936e+10
365.323212,1.5711202286e+10
365.688718,1.6610624736e+10
366.054590,1.7516213176e+10
366.420827,1.6910423697e+10
366.787432,1.6660343329e+10
367.154402,1.6355820367e+10
367.521740,1.6697025768e+10
367.889446,1.5546206095e+10
368.257519,1.5398291253e+10
368.625961,1.5495027188e+10
368.994772,1.5650306632e+10
369.363951,1.7439274855e+10
369.733500,1.7373521105e+10
370.103418,1.9325857414e+10
370.473707,1.6751147102e+10
370.844366,1.5320183892e+10
371.215395,1.6860433518e+10
371.586796,1.8295782626e+10
371.958569,1.6165874736e+10
372.330714,1.3982665640e+10
372.703231,1.6753978118e+10
373.076120,1.6330389822e+10
373.449383,1.4324682942e+10
373.823019,1.3364516041e+10
374.197029,1.7328122147e+10
374.571413,1.4635091587e+10
374.946172,1.2836493199e+10
375.321306,1.5556619922e+10
375.696815,1.7972980711e+10
376.072700,1.5334415571e+10
376.448960,1.5645148975e+10
376.825598,1.5278129899e+10
377.202612,1.6385220725e+10
377.580003,1.9206070662e+10
377.957772,1.8969115454e+10
378.335919,1.9678548540e+10
378.714444,1.8058140157e+10
379.093348,1.5844112163e+10
379.472631,1.5949309092e+10
379.852293,1.4543195590e+10
380.232335,1.6534633824e+10
380.612758,1.7718312406e+10
380.993561,1.7731769137e+10
381.374745,1.7014037298e+10
381.756311,1.5401649612e+10
382.138258,1.3458873447e+10
382.520587,1.3208659594e+10
382.903299,1.2116791627e+10
383.286394,1.3437358962e+10
383.669872,1.2435278217e+10
384.053734,1.2229173485e+10
384.437980,1.5351808475e+10
384.822610,1.7123066937e+10
385.207625,1.5785922495e+10
385.593025,1.5020703482e+10
385.978811,1.3101672106e+10
386.364983,1.5217065521e+10
386.751541,1.5510422372e+10
387.138486,1.3911216709e+10
387.525818,1.5219504310e+10
387.913538,1.3926603874e+10
388.301646,1.3876753723e+10
388.690141,1.3804795899e+10
389.079026,1.5320492900e+10
389.468300,1.7004945191e+10
389.857963,1.7845773823e+10
390.248016,1.7983585175e+10
390.638459,1.7717147365e+10
391.029293,2.0549779740e+10
391.420518,2.0503937179e+10
391.812134,1.8987150605e+10
392.204142,1.6324005820e+10
392.596542,1.5751482765e+10
392.989335,1.1454314250e+10
393.382521,8.4811950611e+09
393.776100,9.5793652225e+09
394.170073,1.4002191055e+10
394.564441,1.6402855621e+10
394.959202,1.8324105389e+10
395.354359,1.9606628685e+10
395.749911,1.8663529432e+10
396.145859,1.6672769122e+10
396.542203,1.2243916168e+10
396.938944,8.8731783157e+09
397.336081,1.2075261544e+10
397.733616,1.7065766755e+10
398.131549,2.0801559668e+10
398.529879,2.1045122026e+10
398.928608,2.2645498812e+10
399.327737,2.2961331555e+10
399.727264,2.2021791586e+10
400.127191,2.3216437125e+10
400.527519,2.2070764394e+10
400.928246,2.3627590336e+10
401.329375,2.3965624565e+10
401.730905,2.3824147836e+10
402.132837,2.3906453483e+10
402.535171,2.3402801313e+10
402.937908,2.3736007387e+10
403.341047,2.1347088775e+10
403.744590,2.2838852609e+10
404.148536,2.2779352787e+10
404.552887,2.1454615350e+10
404.957642,2.3170166754e+10
405.362802,2.3364322141e+10
405.768368,2.1991953499e+10
406.174339,2.2940735509e+10
406.580717,2.1556166800e+10
406.987501,2.3048992951e+10
407.394692,2.1602940476e+10
407.802290,2.0502258828e+10
408.210297,2.4116460703e+10
408.618711,2.2853493322e+10
409.027534,2.4620264297e+10
409.436766,2.4615707167e+10
409.846408,2.2542532674e+10
410.256459,1.9124839740e+10
410.666921,2.3656447578e+10
411.077793,2.4177686976e+10
411.489077,2.4198217095e+10
411.900772,2.4691258086e+10
412.312878,2.4382065315e+10
412.725397,2.3955303129e+10
413.138329,2.1935096107e+10
413.551674,2.1521805523e+10
413.965433,2.4573474009e+10
414.379605,2.0599256074e+10
414.794192,2.3225444417e+10
415.209194,2.2787078798e+10
415.624611,2.2088952951e+10
416.040443,2.3079993608e+10
416.456692,2.4239197993e+10
416.873357,2.3187207429e+10
417.290439,2.1475743650e+10
417.707938,2.1124178270e+10
418.125855,2.1491100343e+10
418.544190,2.1607083515e+10
418.962943,2.0781985338e+10
419.382116,2.2296411765e+10
419.801707,1.9508175920e+10
420.221719,1.9829215568e+10
420.642151,2.2170231408e+10
421.063004,2.2714717653e+10
421.484277,2.0476767744e+10
421.905972,2.0690761857e+10
422.328089,2.2327348541e+10
422.750629,1.7381859705e+10
423.173591,2.1923225624e+10
423.596976,2.0122453621e+10
424.020785,1.9963028068e+10
424.445018,2.2087469546e+10
424.869675,2.0750668580e+10
425.294757,2.0856711669e+10
425.720265,2.0684298022e+10
426.146198,1.8057580845e+10
426.572557,2.2136220307e+10
426.999343,2.0117878861e+10
427.426556,1.7399759077e+10
427.854196,2.0903765158e+10
428.282264,1.9920116653e+10
428.710761,2.0520131059e+10
429.139686,1.7843454389e+10
429.569040,1.9549663959e+10
429.998824,1.6296891294e+10
430.429038,1.5793448186e+10
430.859683,1.4154874144e+10
431.290758,1.5464635680e+10
431.722264,2.2914302340e+10
432.154202,2.4680517113e+10
432.586573,1.7229192714e+10
433.019376,2.2151040689e+10
433.452612,2.2943786299e+10
433.886281,1.8738872378e+10
434.320384,1.7235642320e+10
434.754922,2.0767720898e+10
435.189894,1.9168769392e+10
435.625302,2.1907176608e+10
436.061145,2.3334034527e+10
436.497424,2.3900764635e+10
436.934140,2.1987843690e+10
437.371293,2.0261448077e+10
437.808883,2.0099762612e+10
438.246911,1.9807991540e+10
438.685377,1.7804909078e+10
439.124282,2.1266690466e+10
439.563626,2.1362164874e+10
440.003409,2.1028882820e+10
440.443633,2.0479155606e+10
440.884296,2.2307934374e+10
441.325401,2.3898349364e+10
441.766947,2.1923760491e+10
442.208935,2.4414083603e+10
442.651365,2.2533254934e+10
443.094238,2.2239393283e+10
443.537554,2.2146138523e+10
443.981313,2.3799475730e+10
444.425517,2.2379938924e+10
444.870165,2.4339718497e+10
445.315257,2.2505057751e+10
445.760795,2.0583045638e+10
446.206779,2.0952604986e+10
446.653209,2.3070380939e+10
447.100086,2.2878864886e+10
447.547409,2.3672463180e+10
447.995181,2.2924812469e+10
448.443400,2.2401550762e+10
448.892067,2.2898596039e+10
449.341184,2.2793738101e+10
449.790750,2.2200817221e+10
450.240766,2.3306356516e+10
450.691232,2.4629402399e+10
451.142148,2.3930832291e+10
451.593516,2.3809677944e+10
452.045336,2.3239822676e+10
452.497607,2.2964914596e+10
452.950331,2.0951450346e+10
453.403508,2.1217885377e+10
453.857138,2.3467450339e+10
454.311222,2.3375043967e+10
454.765761,2.2004177908e+10
455.220754,2.2967248338e+10
455.676202,2.2167033075e+10
456.132106,2.3480216665e+10
456.588467,2.2689394923e+10
457.045284,2.3242363536e+10
457.502557,2.3059191817e+10
457.960289,2.2997516468e+10
458.418478,2.1965441708e+10
458.877126,2.3271116390e+10
459.336233,2.2673976034e+10
459.795799,2.2368556764e+10
460.255824,2.1957654551e+10
460.716310,2.2579282971e+10
461.177257,2.3496090499e+10
461.638665,2.3039956347e+10
