time_ns,amplitude_mv,amplitude_per_pe,is_measured_support
-40.0,0.0,0.0,True
-39.8,0.0,0.0,True
-39.599999999999994,0.0,0.0,True
-39.39999999999999,0.0,0.0,True
-39.19999999999999,0.0,0.0,True
-38.999999999999986,0.0,0.0,True
-38.79999999999998,0.0,0.0,True
-38.59999999999998,0.0,0.0,True
-38.39999999999998,0.0,0.0,True
-38.199999999999974,0.0,0.0,True
-37.99999999999997,0.0,0.0,True
-37.79999999999997,0.0,0.0,True
-37.599999999999966,0.0,0.0,True
-37.39999999999996,0.0,0.0,True
-37.19999999999996,0.0,0.0,True
-36.99999999999996,0.0,0.0,True
-36.799999999999955,0.0,0.0,True
-36.59999999999995,0.0,0.0,True
-36.39999999999995,0.0,0.0,True
-36.199999999999946,0.0,0.0,True
-35.99999999999994,0.0,0.0,True
-35.79999999999994,0.0,0.0,True
-35.59999999999994,0.0,0.0,True
-35.399999999999935,0.0,0.0,True
-35.19999999999993,0.0,0.0,True
-34.99999999999993,0.0,0.0,True
-34.799999999999926,0.0,0.0,True
-34.59999999999992,0.0,0.0,True
-34.39999999999992,0.0,0.0,True
-34.19999999999992,0.0,0.0,True
-33.999999999999915,0.0,0.0,True
-33.79999999999991,0.0,0.0,True
-33.59999999999991,0.0,0.0,True
-33.399999999999906,0.0,0.0,True
-33.1999999999999,0.0,0.0,True
-32.9999999999999,0.0,0.0,True
-32.7999999999999,0.0,0.0,True
-32.599999999999895,0.0,0.0,True
-32.39999999999989,0.0,0.0,True
-32.19999999999989,0.0,0.0,True
-31.999999999999886,0.0,0.0,True
-31.799999999999883,0.0,0.0,True
-31.59999999999988,0.0,0.0,True
-31.399999999999878,0.0,0.0,True
-31.199999999999875,0.0,0.0,True
-30.999999999999872,0.0,0.0,True
-30.79999999999987,0.0,0.0,True
-30.599999999999866,0.0,0.0,True
-30.399999999999864,0.0,0.0,True
-30.19999999999986,0.0,0.0,True
-29.999999999999858,0.0,0.0,True
-29.799999999999855,0.0,0.0,True
-29.599999999999852,0.0,0.0,True
-29.39999999999985,0.0,0.0,True
-29.199999999999847,0.0,0.0,True
-28.999999999999844,0.0,0.0,True
-28.79999999999984,0.0,0.0,True
-28.599999999999838,0.0,0.0,True
-28.399999999999835,0.0,0.0,True
-28.199999999999832,0.0,0.0,True
-27.99999999999983,0.0,0.0,True
-27.799999999999827,0.0,0.0,True
-27.599999999999824,0.0,0.0,True
-27.39999999999982,0.0,0.0,True
-27.199999999999818,0.0,0.0,True
-26.999999999999815,0.0,0.0,True
-26.799999999999812,0.0,0.0,True
-26.59999999999981,0.0,0.0,True
-26.399999999999807,0.0,0.0,True
-26.199999999999804,0.0,0.0,True
-25.9999999999998,0.0,0.0,True
-25.799999999999798,0.0,0.0,True
-25.599999999999795,0.0,0.0,True
-25.399999999999793,0.0,0.0,True
-25.19999999999979,0.0,0.0,True
-24.999999999999787,0.0,0.0,True
-24.799999999999784,0.0,0.0,True
-24.59999999999978,0.0,0.0,True
-24.39999999999978,0.0,0.0,True
-24.199999999999775,0.0,0.0,True
-23.999999999999773,0.0,0.0,True
-23.79999999999977,0.0,0.0,True
-23.599999999999767,0.0,0.0,True
-23.399999999999764,0.0,0.0,True
-23.19999999999976,0.0,0.0,True
-22.99999999999976,0.0,0.0,True
-22.799999999999756,0.0,0.0,True
-22.599999999999753,0.0,0.0,True
-22.39999999999975,0.0,0.0,True
