id,center_x,center_y,center_z,normal_x,normal_y,normal_z,surface_type,radius_of_curvature,aperture_shape,size1,size2,aperture_rotation_rad,reflectivity_scale,roughness_sigma_rad,misalign_sigma_rad
0,0.8180000000000001,4.625e-06,-15.95806987,-0.05119212188391795,-2.89441874936635e-07,0.9986888237368726,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
1,0.40900000000000003,0.7084130249999999,-15.95806949,-0.025596061248388435,-0.04433394419823439,0.9986888119130987,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
2,-0.40900000000000003,0.7084130249999999,-15.95806949,0.025596061248388435,-0.04433394419823439,0.9986888119130987,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
3,-0.8180000000000001,4.6350000000000005e-06,-15.95806987,0.05119212188391035,-2.900681249364979e-07,0.9986888237368728,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
4,-0.40900000000000003,-0.708403992,-15.95807029,0.02559606061009142,0.0443333777889064,0.9986888370734254,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
5,0.40900000000000003,-0.708403992,-15.95807029,-0.025596060610120288,0.044333377788906364,0.9986888370734246,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
6,1.6340000000000001,4.665e-06,-15.83135008,-0.10266752307821714,-2.931124999121159e-07,0.9947157280876269,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
7,0.8170000000000001,1.415089966,-15.83134927,-0.051333762859876966,-0.08891296541003689,0.9947157027878064,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
8,-0.8170000000000001,1.415089966,-15.83134927,0.051333762859850626,-0.08891296541003701,0.9947157027878077,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
9,-1.6340000000000001,4.613e-06,-15.83135008,0.10266752307821733,-2.8984374991309654e-07,0.994715728087628,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
10,-0.8170000000000001,-1.415079956,-15.831351080000001,0.05133375992339987,0.08891233137542136,0.9947157596125207,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
11,0.8170000000000001,-1.415079956,-15.831351080000001,-0.05133375992340645,0.08891233137542133,0.9947157596125203,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
12,1.222829956,0.706005005,-15.87440435,-0.07672861494417989,-0.04429952497606547,0.9960674032090613,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
13,2.5000000000000002e-08,1.412,-15.87440512,-1.5686687500379377e-09,-0.08859841971558022,0.9960674274485146,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
14,-1.222829956,0.706005005,-15.87440435,0.07672861494421057,-0.04429952497606537,0.9960674032090588,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
15,-1.222829956,-0.7059949950000001,-15.87440525,0.07672861276317935,0.04429889562183553,0.9960674313670355,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
16,-3e-09,-1.412,-15.87440512,1.8824026851755516e-10,0.08859841971559597,0.9960674274485132,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
17,1.222829956,-0.7059949950000001,-15.87440525,-0.0767286127631681,0.044298895621835574,0.9960674313670363,Spherical,16.0,Hexagon,0.8,0.0,0.0,1.0,0.0,0.0
