elevation_deg,id,cell_index,ring_index,center_x,center_y,center_z,normal_x,normal_y,normal_z,surface_type,radius_of_curvature,aperture_shape,size1,size2,aperture_rotation_rad
0,0,0,1,0.818031529,0.0012353000000000002,-15.957687063,-0.05119268618602689,-7.2738766206674e-05,0.9986887921620683,Spherical,16.0,Hexagon,0.8,0.0,0.0
0,1,1,1,0.408991703,0.709607818,-15.95786679,-0.025591412008021716,-0.04437932634082345,0.998686915416924,Spherical,16.0,Hexagon,0.8,0.0,0.0
0,2,2,1,-0.40899388,0.709608354,-15.95786674,0.025592584020859954,-0.044379048301704235,0.9986868977387108,Spherical,16.0,Hexagon,0.8,0.0,0.0
0,3,3,1,-0.818034123,0.001236408,-15.957686603,0.05119321929777096,-7.217909930368584e-05,0.9986887648752778,Spherical,16.0,Hexagon,0.8,0.0,0.0
0,4,4,1,-0.40905238400000005,-0.706986062,-15.957479041000001,0.02559526250293556,0.04422613272816836,0.9986936125365559,Spherical,16.0,Hexagon,0.8,0.0,0.0
0,5,5,1,0.40900164,-0.7069867380000001,-15.957480716000001,-0.025592973460356563,0.04422687589135639,0.9986936382887138,Spherical,16.0,Hexagon,0.8,0.0,0.0
0,6,0,2,1.633944978,0.001332503,-15.830945626,-0.10263047941773841,-7.757432436308931e-05,0.9947195477503744,Spherical,16.0,Hexagon,0.8,0.0,0.0
0,7,1,2,0.816981328,1.416398849,-15.831357180000001,-0.05132180455904403,-0.08897592693881494,0.994710690000958,Spherical,16.0,Hexagon,0.8,0.0,0.0
0,8,2,2,-0.816983063,1.416400139,-15.831357554,0.05132360854720428,-0.08897542462667452,0.9947106418543015,Spherical,16.0,Hexagon,0.8,0.0,0.0
0,9,3,2,-1.633947686,0.001334692,-15.830944782000001,0.102630858584067,-7.65092390642506e-05,0.9947195087121965,Spherical,16.0,Hexagon,0.8,0.0,0.0
0,10,4,2,-0.8170310510000001,-1.413564326,-15.830573817000001,0.05133141893230606,0.08882247790854224,0.9947239078501042,Spherical,16.0,Hexagon,0.8,0.0,0.0
0,11,5,2,0.816980045,-1.413565989,-15.830577684,-0.05132890487389188,0.08882368793387552,0.9947239295333518,Spherical,16.0,Hexagon,0.8,0.0,0.0
0,12,0,3,1.222857572,0.707209697,-15.874219572,-0.07673222602609081,-0.04435222403314015,0.9960647798774912,Spherical,16.0,Hexagon,0.8,0.0,0.0
