wavelength_nm,efficiency
705,0.786177
706,0.791095
707,0.800250
708,0.795072
709,0.794140
710,0.779821
711,0.795901
712,0.785472
713,0.789927
714,0.799302
715,0.778032
716,0.800770
717,0.787755
718,0.783071
719,0.785016
720,0.794660
721,0.775208
722,0.800853
723,0.785920
724,0.762421
725,0.775004
726,0.780239
727,0.780189
728,0.763615
729,0.789335
730,0.767022
731,0.769415
732,0.777397
733,0.784605
734,0.784351
735,0.766037
736,0.769592
737,0.771945
738,0.769206
739,0.777759
740,0.789132
741,0.775252
742,0.753359
743,0.784717
744,0.776299
745,0.777653
746,0.764453
747,0.773531
748,0.776609
749,0.763704
750,0.783845
