mirror_id,count,signal_weight,weight,mean_time_ns,std_time_ns,min_time_ns,max_time_ns
0,670,160.949510336,0.00451735638837,83.359904727,0.000946323758644,83.3576911,83.36343678
1,2,0.4677160947,1.31273483462e-05,83.3573860066,0.000229580540283,83.3571609,83.35762015
2,22,5.3980231632,0.000151505862738,83.3560808319,0.0013738711391,83.35446351,83.36020273
3,2571,649.204927343,0.0182211801686,83.3596613081,0.000862140052738,83.35792542,83.36269018
4,287,72.8001763361,0.0020432764347,83.360167452,0.000615813780529,83.35907612,83.36269513
5,1281,315.436626693,0.00885333330769,83.3607180929,0.00100906830905,83.35875475,83.36437493
6,1024,246.9189777,0.00693025420825,82.9373005445,0.000959258181925,82.93533577,82.9401451
8,4115,996.979476025,0.0279821392167,82.9357172518,0.00111985238416,82.93075732,82.93820121
9,10166,2757.25934569,0.0773877664717,82.9357909636,0.0018351414066,82.93298861,82.9451756
10,879,229.028340643,0.0064281192006,82.9412535724,0.00100528460734,82.93872409,82.94438839
11,250,64.4209259124,0.00180809671683,82.9427745171,0.000847583495526,82.94004865,82.9452738
13,77,18.2677987825,0.000512720774105,83.0780412265,0.000552163605143,83.07695371,83.08062028
15,7812,2103.49962091,0.0590387471858,83.0818454426,0.000964109963844,83.07998632,83.0855093
16,1,0.2554923267,7.17088167454e-06,83.08361519,0,83.08361519,83.08361519
17,1448,372.017749003,0.0104413909153,83.0814254395,0.000680371496848,83.07991308,83.08480737
18,3,0.709752109,1.99205528308e-05,82.2256436551,0.00109247423236,82.22409006,82.22645845
19,3411,807.340371511,0.0226595543982,82.2189275429,0.00121126840283,82.21474036,82.22278271
21,4986,1281.7037781,0.035973472289,82.2288422515,0.00433504505519,82.21983903,82.25403154
22,65,16.0827220772,0.000451392409744,82.2484070561,0.00782619258224,82.23269429,82.25661946
23,2609,657.028458685,0.0184407625657,82.2380228243,0.00409008551746,82.2310768,82.25406525
24,1377,329.319076439,0.00924297085872,82.5130105994,0.000955275814568,82.51075799,82.5167029
25,184,43.6834503263,0.00122605973131,82.5087269274,0.000724515121956,82.50701473,82.51089262
27,6442,1719.99532152,0.0482749642256,82.5182850771,0.00220841144815,82.51390333,82.52801497
28,64,16.3279423477,0.00045827498648,82.5225212378,0.00188773118486,82.5193594,82.52715985
29,392,100.487348918,0.00282036998209,82.518101649,0.000931934453879,82.51619713,82.52078004
30,7716,1825.43976014,0.051234464428,82.5141796138,0.00126095392125,82.50800541,82.51817761
31,368,88.1922937693,0.0024752857019,82.5096175371,0.000811040302695,82.5079882,82.51206301
32,3177,818.834334222,0.0229821544842,82.5160796827,0.00187695847844,82.5115255,82.52564027
33,7817,2157.29071387,0.0605484972742,82.5204452706,0.00237608751128,82.51595682,82.52818103
34,9354,2396.22672061,0.0672546941069,82.5242111253,0.00338336270431,82.51452315,82.54512403
35,699,167.629874707,0.00470485361406,82.5194228491,0.000932008483044,82.51634612,82.52180699
36,5960,1408.04012443,0.0395193439103,81.6444312592,0.00350349408081,81.63492049,81.64931487
37,311,73.7966149591,0.00207124339384,81.6358019012,0.00119438744756,81.63351992,81.63831563
38,2345,594.034587569,0.016672718876,81.64099677,0.00220123871598,81.6292707,81.6479246
39,2209,577.053731371,0.0161961186113,81.6539821928,0.00910680926494,81.64462179,81.68309754
40,7284,1854.87217137,0.052060541442,81.6724391799,0.011834688726,81.65021746,81.6880765
41,9839,2441.33661572,0.0685207897441,81.6561657655,0.0103346832142,81.63458068,81.68495908
42,4271,1004.15698416,0.0281835897348,81.7967258227,0.00145011610192,81.791523,81.80086765
43,25,5.9509697878,0.000167025369209,81.7897972664,0.000642683006746,81.78862999,81.7911648
44,373,95.3716245615,0.00267678737625,81.7978666178,0.00119278213047,81.79467762,81.80249246
45,4,1.105528946,3.10287880734e-05,81.80635941,0.000383166616762,81.80587353,81.80685339
46,2081,532.854629019,0.0149555861179,81.8098043861,0.00442099100651,81.80041355,81.83504174
47,3747,947.400276239,0.0265906039805,81.8032282023,0.00148712459069,81.79987155,81.80733526
48,4399,1029.97214448,0.0289081416711,81.6381245645,0.0059847236032,81.61977516,81.64531405
49,4340,1073.8878322,0.0301407195899,81.6367359896,0.00130438092181,81.63152993,81.6396771
50,2695,691.751266101,0.0194153246851,81.6477960866,0.00880629712784,81.63477752,81.6879071
51,424,113.311443707,0.00318030277344,81.6591897494,0.00749429037137,81.6468009,81.67850202
52,8716,2159.88882377,0.0606214182064,81.6659134282,0.0165401494225,81.64216266,81.69553304
53,2414,605.155159687,0.0169848390396,81.6418571146,0.00105095636985,81.63913932,81.64448309
