mirror_id,count,signal_weight,weight,mean_time_ns,std_time_ns,min_time_ns,max_time_ns
0,3376,933.066430424,0.00791877793686,83.3542023779,0.000505107674626,83.35258085,83.35634239
1,3146,854.156784504,0.00724908503747,83.3540292142,0.00175072469001,83.35189386,83.36255693
2,3202,855.359497489,0.00725929226039,83.3548238456,0.0019613524141,83.35203137,83.36949065
3,3480,910.251649691,0.00772515272818,83.3588078154,0.00336964673028,83.35452099,83.36539554
4,3142,808.740029243,0.0068636406706,83.3602360381,0.00267404620775,83.3558644,83.36602437
5,3274,868.324936933,0.00736932776532,83.3585083495,0.00257569937541,83.35555131,83.36659349
6,10883,2852.62910996,0.0242097836997,82.93726986,0.00544270492611,82.93028046,82.94818608
7,7113,1801.02248688,0.0152849750756,82.9384370839,0.00301809992815,82.92802634,82.94352199
8,6952,1912.0566679,0.0162273035039,82.926905271,0.00188829833919,82.92298111,82.94261141
9,10961,2639.35301255,0.0223997453149,82.9442103418,0.00554958322607,82.93167666,82.95427692
10,7242,1936.39729349,0.0164338783014,82.9380794942,0.0046471418612,82.93275099,82.95343096
11,7245,1800.02749625,0.0152765307574,82.9490606103,0.00273031585017,82.94402702,82.95934762
12,8027,2037.7963133,0.0172944347363,83.0804055145,0.00598586104524,83.0732778,83.09972158
13,8784,2421.93597025,0.0205545634269,83.0705812112,0.00168977884827,83.06760708,83.08347673
14,8068,2068.69900133,0.0175567006545,83.0790542257,0.00281017862883,83.07278437,83.09737837
15,8007,1926.2405916,0.0163476800799,83.0896799599,0.00592052652115,83.07865628,83.10260286
16,8697,2208.7970946,0.0187456896201,83.0876384638,0.0039373803331,83.07913743,83.09568218
17,8037,2031.14131309,0.0172379548683,83.0837981649,0.00419580981972,83.07723951,83.10265584
18,10658,2685.88668938,0.0227946688073,82.2358057355,0.00263047967404,82.2214594,82.24012017
19,9006,2374.37661227,0.020150935151,82.2131840007,0.0085807187766,82.20298999,82.24808263
20,7825,1841.49588661,0.0156284660151,82.2383454372,0.00457553620555,82.22598439,82.24416606
21,10832,2726.27916209,0.0231374729328,82.2327312292,0.00575782900613,82.2160258,82.24135084
22,6497,1651.14873086,0.0140130217035,82.2373732991,0.00204662049355,82.23198318,82.24210008
23,8049,1951.44977323,0.0165616261664,82.2445847742,0.00617819650924,82.23425315,82.25538572
24,9977,2611.19150054,0.0221607432967,82.5136850655,0.00777747282402,82.50304426,82.53682229
25,10843,2752.49700805,0.0233599793841,82.512772828,0.00705307708755,82.50155844,82.5308986
26,10025,2512.89909514,0.021326552176,82.5160171979,0.00546152176472,82.50240678,82.53833397
27,10004,2448.11790013,0.0207767650644,82.5267557538,0.00587716774717,82.51112103,82.54129576
28,10936,2759.76233178,0.0234216389651,82.528526839,0.00368349035182,82.51343477,82.53352512
29,9851,2335.74657965,0.0198230885582,82.5336099928,0.00987284342852,82.51274835,82.54656921
30,10134,2768.70798939,0.0234975592574,82.5038238229,0.00485600004005,82.49708515,82.54021233
31,10850,2757.66956441,0.0234038780003,82.5137668232,0.00615139630751,82.50122003,82.52361382
32,9892,2598.77870892,0.0220553980209,82.5127630822,0.00824107329886,82.50114966,82.52739464
33,10049,2356.11261843,0.0199959317056,82.5359474999,0.0074571226576,82.51472629,82.5465689
34,10907,2751.74589008,0.023353604772,82.5285170869,0.00365365705037,82.5132634,82.53359966
35,9977,2724.34881725,0.0231210904207,82.508834315,0.00450181712191,82.50237016,82.53068333
36,8964,2357.93551327,0.0200114023077,81.6380287454,0.0114362179162,81.62225564,81.66189427
37,10400,2570.51493073,0.0218155280869,81.648776249,0.00628789067218,81.62467263,81.6624214
38,10853,2762.0995982,0.0234414749524,81.6400009959,0.0180243378561,81.6186208,81.67745338
39,9147,2275.31846526,0.01931024531,81.6592937112,0.00533818100564,81.63678825,81.67369763
40,6297,1543.03982211,0.0130955195693,81.6671802789,0.00421524020609,81.66069351,81.67544344
41,7994,2004.28893357,0.0170100632374,81.6548293128,0.00609319835414,81.6347581,81.67870551
42,11102,2854.69934486,0.0242273534352,81.7936750687,0.0141352369717,81.77684669,81.83110808
43,9944,2485.75340299,0.0210961712502,81.8017398877,0.00438727049808,81.78039208,81.80901059
44,10706,2854.19027407,0.0242230330371,81.786072663,0.0112269221251,81.77280394,81.8296657
45,8144,2133.14921833,0.0181036788114,81.7957691221,0.0124194490836,81.78049585,81.84051151
46,10715,2675.07981213,0.0227029526568,81.8157497358,0.00525915934921,81.79440299,81.82462352
47,10931,2669.24879,0.0226534657523,81.8135032574,0.0159728766232,81.78878332,81.83643244
48,7088,1848.36589283,0.015686770603,81.6337014851,0.0105440088723,81.61714892,81.67315498
49,10695,2726.02125273,0.0231352840995,81.6369615716,0.0136515345231,81.61806411,81.66704474
50,8508,2155.75687601,0.0182955462016,81.6470801225,0.00953676060871,81.62767855,81.66150825
51,8621,2143.89845107,0.0181949057426,81.6568945646,0.00754715403983,81.63893729,81.68183777
52,8800,2208.80237558,0.0187457344389,81.6609064846,0.00468016738223,81.63826733,81.66733928
53,8674,2087.22570479,0.0177139336722,81.6571226862,0.00815624785007,81.63226963,81.67048278
