mirror_id,count,weight,mean_time_ns,std_time_ns,min_time_ns,max_time_ns
0,11104,0.0188127182379,83.2512633898,0.000171048052286,83.2511293,83.25185841
1,11033,0.0186924279826,83.2512605847,0.000169454983589,83.25112802,83.25185717
2,11051,0.0187229241036,83.2512568011,0.000166254752183,83.25112802,83.25185119
3,11018,0.0186670145483,83.2512643066,0.000171466066208,83.2511293,83.25185455
4,11134,0.0188635451063,83.2512661753,0.000171774622748,83.25113068,83.25186375
5,11129,0.0188550739616,83.2512669679,0.000171957332965,83.25113068,83.25186148
6,10879,0.0184315167246,82.8288874241,0.000959848433978,82.82796675,82.83162299
7,10982,0.0186060223062,82.8288699269,0.000942448306583,82.82796402,82.83163741
8,11024,0.018677179922,82.8288615177,0.000941757774356,82.82796402,82.83160611
9,10968,0.0185823031009,82.8288572077,0.00094056753049,82.82796675,82.83165135
10,10936,0.0185280877746,82.8288780125,0.000947275366913,82.82797008,82.83163372
11,10858,0.0183959379167,82.8288857677,0.000964540206823,82.82797008,82.83164115
12,11085,0.0187805278879,82.9723894153,0.000642544366411,82.97180474,82.97475891
13,11017,0.0186653203194,82.9723859814,0.000634744698267,82.97180731,82.97476464
14,10948,0.018548418522,82.9723840535,0.00063581137342,82.97180474,82.97475597
15,11036,0.0186975106694,82.972388493,0.000644514338168,82.97180776,82.97478419
16,10902,0.0184704839904,82.9723800949,0.000636254043434,82.97180731,82.97474283
17,11025,0.018678874151,82.9723920795,0.000638076844211,82.97180776,82.97473129
18,10822,0.0183349456745,82.1140587701,0.00302111082918,82.11051392,82.12193976
19,10848,0.0183789956272,82.112474973,0.00301721790695,82.10891948,82.12035304
20,10995,0.0186280472825,82.1140942961,0.00301928470962,82.11051257,82.12196401
21,10998,0.0186331299694,82.1140802007,0.00302870930163,82.11051469,82.12194683
22,10906,0.0184772609062,82.1140292751,0.003028739245,82.11052121,82.12197702
23,10825,0.0183400283614,82.1140854837,0.0030201153262,82.11052141,82.12200164
24,10874,0.0184230455798,82.4053463843,0.00207074600282,82.40305792,82.41196543
25,10974,0.0185924684746,82.4053700751,0.0020898168314,82.4030572,82.41198037
26,10900,0.0184670955325,82.4053426022,0.00208014481261,82.40305641,82.41202164
27,10963,0.0185738319562,82.4053498879,0.00207760284506,82.40306067,82.41203642
28,10896,0.0184603186167,82.4053461315,0.00205531802163,82.40306641,82.41189873
29,10694,0.0181180843692,82.4053608515,0.00208293229161,82.40306252,82.4118988
30,10902,0.0184704839904,82.4053428463,0.00206004167387,82.40305641,82.41201988
31,10895,0.0184586243877,82.4053480884,0.00206720473583,82.4030572,82.41205073
32,10821,0.0183332514456,82.4053494533,0.00206364032626,82.40305792,82.41192367
33,10912,0.0184874262799,82.4053581714,0.0020752706644,82.40306252,82.41206165
34,10935,0.0185263935457,82.4053397965,0.00206931094286,82.40306641,82.41193841
35,10894,0.0184569301588,82.4053458285,0.00207811118877,82.40306067,82.41192126
36,11001,0.0186382126562,81.5316987783,0.00523757402033,81.52478635,81.54653227
37,10679,0.018092670935,81.5316189427,0.00524542832174,81.52476752,81.54679734
38,10733,0.0181841592982,81.5316185444,0.00521325691644,81.5247774,81.54694497
39,10855,0.0183908552298,81.5317437021,0.00528272766124,81.5247909,81.54675844
40,10789,0.0182790361193,81.5317183191,0.00522609008924,81.52478261,81.54686681
41,10822,0.0183349456745,81.5317039497,0.0052471806591,81.52478423,81.54675105
42,10924,0.0185077570272,81.6856984439,0.0045528319948,81.67973349,81.69999194
43,10935,0.0185263935457,81.6857433702,0.00462408424391,81.67972918,81.6999338
44,11006,0.018646683801,81.6857148373,0.00463922134714,81.67974289,81.69968034
45,11161,0.0189092892879,81.6857025354,0.00458484340334,81.6797361,81.69994318
46,10919,0.0184992858825,81.6857067983,0.00460606394867,81.679735,81.6997026
47,10928,0.018514533943,81.6857564915,0.00464334388741,81.67972965,81.69989114
48,10830,0.0183484995061,81.5317570679,0.00523965506962,81.52477572,81.546832
49,10913,0.0184891205088,81.5316322535,0.00525376995605,81.52476623,81.54660705
50,10929,0.018516228172,81.5316631337,0.00524528248274,81.52477282,81.54672827
51,10915,0.0184925089667,81.5314696922,0.00519490301727,81.52477128,81.54664096
52,10723,0.0181672170087,81.5317491479,0.00524182819637,81.52477961,81.54686715
53,10994,0.0186263530536,81.5265403017,0.00530357181888,81.51955055,81.54146086
