event_id,telescope_id,photon_index,source_bunch_index,u_m,v_m,signal_weight,time_ns
110,0,1434,34,-3.013332932,0.3204154072,1,-37.30325645
110,0,1440,36,-2.986764782,0.3039322712,1,-37.38387614
110,0,1441,36,-2.986764782,0.3039322712,1,-37.38387614
110,0,1442,36,-2.986764782,0.3039322712,1,-37.38387614
110,0,1443,36,-2.986764782,0.3039322712,1,-37.38387614
110,0,1444,36,-2.986764782,0.3039322712,1,-37.38387614
110,0,1455,39,-2.985452011,0.3048578347,1,-37.3805212
110,0,1456,39,-2.985452011,0.3048578347,1,-37.3805212
110,0,1457,39,-2.985452011,0.3048578347,1,-37.3805212
110,0,1458,39,-2.985452011,0.3048578347,1,-37.3805212
110,0,1465,41,-2.602843748,0.08926406175,1,-38.50867917
110,0,1466,41,-2.602843748,0.08926406175,1,-38.50867917
110,0,1467,41,-2.602843748,0.08926406175,1,-38.50867917
110,0,1468,41,-2.602843748,0.08926406175,1,-38.50867917
110,0,1469,41,-2.602843748,0.08926406175,1,-38.50867917
110,0,1505,49,-2.836529464,0.2582413307,1,-38.25371862
110,0,1506,49,-2.836529464,0.2582413307,1,-38.25371862
110,0,1507,49,-2.836529464,0.2582413307,1,-38.25371862
110,0,1508,49,-2.836529464,0.2582413307,1,-38.25371862
110,0,1509,49,-2.836529464,0.2582413307,1,-38.25371862
110,0,1510,50,-2.606416527,0.1015197694,1,-38.51043285
110,0,1511,50,-2.606416527,0.1015197694,1,-38.51043285
110,0,1512,50,-2.606416527,0.1015197694,1,-38.51043285
110,0,1513,50,-2.606416527,0.1015197694,1,-38.51043285
110,0,1514,50,-2.606416527,0.1015197694,1,-38.51043285
110,0,1530,54,-2.71912177,0.1836386444,1,-38.26970283
110,0,1531,54,-2.71912177,0.1836386444,1,-38.26970283
110,0,1532,54,-2.71912177,0.1836386444,1,-38.26970283
110,0,1533,54,-2.71912177,0.1836386444,1,-38.26970283
110,0,1534,54,-2.71912177,0.1836386444,1,-38.26970283
110,0,1535,55,-2.685346476,0.1674987139,1,-38.45977035
110,0,1536,55,-2.685346476,0.1674987139,1,-38.45977035
110,0,1537,55,-2.685346476,0.1674987139,1,-38.45977035
110,0,1538,55,-2.685346476,0.1674987139,1,-38.45977035
110,0,1539,55,-2.685346476,0.1674987139,1,-38.45977035
110,0,1555,59,-2.602322482,0.09000390113,1,-38.65845425
110,0,1556,59,-2.602322482,0.09000390113,1,-38.65845425
110,0,1557,59,-2.602322482,0.09000390113,1,-38.65845425
110,0,1558,59,-2.602322482,0.09000390113,1,-38.65845425
110,0,1580,64,-2.819101971,0.2457534123,1,-38.2809792
110,0,1581,64,-2.819101971,0.2457534123,1,-38.2809792
110,0,1582,64,-2.819101971,0.2457534123,1,-38.2809792
110,0,1583,64,-2.819101971,0.2457534123,1,-38.2809792
110,0,1584,64,-2.819101971,0.2457534123,1,-38.2809792
110,0,1605,69,-3.179515038,0.2795505533,1,-37.55499934
110,0,1606,69,-3.179515038,0.2795505533,1,-37.55499934
110,0,1607,69,-3.179515038,0.2795505533,1,-37.55499934
110,0,1608,69,-3.179515038,0.2795505533,1,-37.55499934
110,0,1609,69,-3.179515038,0.2795505533,1,-37.55499934
110,0,1610,70,-3.247650253,0.2037220393,1,-37.45633288
110,0,1611,70,-3.247650253,0.2037220393,1,-37.45633288
110,0,1612,70,-3.247650253,0.2037220393,1,-37.45633288
110,0,1613,70,-3.247650253,0.2037220393,1,-37.45633288
110,0,1614,70,-3.247650253,0.2037220393,1,-37.45633288
110,0,1615,71,-2.657910341,0.1506371198,1,-38.50763071
110,0,1616,71,-2.657910341,0.1506371198,1,-38.50763071
110,0,1617,71,-2.657910341,0.1506371198,1,-38.50763071
110,0,1618,71,-2.657910341,0.1506371198,1,-38.50763071
110,0,1640,76,-2.64413028,0.1280044488,1,-38.61790673
110,0,1641,76,-2.64413028,0.1280044488,1,-38.61790673
110,0,1642,76,-2.64413028,0.1280044488,1,-38.61790673
110,0,1643,76,-2.64413028,0.1280044488,1,-38.61790673
110,0,1644,76,-2.64413028,0.1280044488,1,-38.61790673
110,0,1675,83,-2.803709222,0.2427854615,1,-38.26378255
110,0,1676,83,-2.803709222,0.2427854615,1,-38.26378255
110,0,1677,83,-2.803709222,0.2427854615,1,-38.26378255
110,0,1678,83,-2.803709222,0.2427854615,1,-38.26378255
110,0,1679,83,-2.803709222,0.2427854615,1,-38.26378255
110,0,1690,86,-3.142519195,0.1609649407,1,-37.48266191
110,0,1691,86,-3.142519195,0.1609649407,1,-37.48266191
110,0,1692,86,-3.142519195,0.1609649407,1,-37.48266191
110,0,1693,86,-3.142519195,0.1609649407,1,-37.48266191
110,0,1715,91,-3.385344949,0.1874106179,1,-37.20210672
110,0,1716,91,-3.385344949,0.1874106179,1,-37.20210672
110,0,1717,91,-3.385344949,0.1874106179,1,-37.20210672
110,0,1718,91,-3.385344949,0.1874106179,1,-37.20210672
110,0,1719,91,-3.385344949,0.1874106179,1,-37.20210672
110,0,1725,93,-2.62803337,0.1477131909,1,-38.0158265
110,0,1726,93,-2.62803337,0.1477131909,1,-38.0158265
110,0,1727,93,-2.62803337,0.1477131909,1,-38.0158265
110,0,1728,93,-2.62803337,0.1477131909,1,-38.0158265
110,0,1729,93,-2.62803337,0.1477131909,1,-38.0158265
110,0,1730,94,-2.631278173,0.1507955421,1,-38.01600059
110,0,1731,94,-2.631278173,0.1507955421,1,-38.01600059
110,0,1732,94,-2.631278173,0.1507955421,1,-38.01600059
110,0,1733,94,-2.631278173,0.1507955421,1,-38.01600059
110,0,1734,94,-2.631278173,0.1507955421,1,-38.01600059
110,0,1735,95,-2.614801696,0.1264295481,1,-37.72338297
110,0,1736,95,-2.614801696,0.1264295481,1,-37.72338297
110,0,1737,95,-2.614801696,0.1264295481,1,-37.72338297
110,0,1738,95,-2.614801696,0.1264295481,1,-37.72338297
110,0,1739,95,-2.614801696,0.1264295481,1,-37.72338297
110,0,1740,96,-2.74180177,0.2083660184,1,-37.55945077
110,0,1741,96,-2.74180177,0.2083660184,1,-37.55945077
110,0,1742,96,-2.74180177,0.2083660184,1,-37.55945077
110,0,1743,96,-2.74180177,0.2083660184,1,-37.55945077
110,0,1745,97,-3.321482853,0.2121074581,1,-37.29633272
110,0,1746,97,-3.321482853,0.2121074581,1,-37.29633272
110,0,1747,97,-3.321482853,0.2121074581,1,-37.29633272
110,0,1748,97,-3.321482853,0.2121074581,1,-37.29633272
110,0,1749,97,-3.321482853,0.2121074581,1,-37.29633272
110,0,1765,101,-2.683563078,0.1799795696,1,-37.60651722
110,0,1766,101,-2.683563078,0.1799795696,1,-37.60651722
110,0,1767,101,-2.683563078,0.1799795696,1,-37.60651722
110,0,1768,101,-2.683563078,0.1799795696,1,-37.60651722
110,0,1769,101,-2.683563078,0.1799795696,1,-37.60651722
110,0,1770,102,-2.625412206,0.144343732,1,-38.01810967
110,0,1771,102,-2.625412206,0.144343732,1,-38.01810967
110,0,1772,102,-2.625412206,0.144343732,1,-38.01810967
110,0,1773,102,-2.625412206,0.144343732,1,-38.01810967
110,0,1790,106,-2.759158665,0.2157374333,1,-37.55120177
110,0,1791,106,-2.759158665,0.2157374333,1,-37.55120177
110,0,1792,106,-2.759158665,0.2157374333,1,-37.55120177
110,0,1793,106,-2.759158665,0.2157374333,1,-37.55120177
110,0,1795,107,-2.613669729,0.1277208223,1,-37.72754291
110,0,1796,107,-2.613669729,0.1277208223,1,-37.72754291
110,0,1797,107,-2.613669729,0.1277208223,1,-37.72754291
110,0,1798,107,-2.613669729,0.1277208223,1,-37.72754291
110,0,1799,107,-2.613669729,0.1277208223,1,-37.72754291
110,0,1815,111,-3.036620704,0.2195293107,1,-37.10010118
110,0,1816,111,-3.036620704,0.2195293107,1,-37.10010118
110,0,1817,111,-3.036620704,0.2195293107,1,-37.10010118
110,0,1818,111,-3.036620704,0.2195293107,1,-37.10010118
110,0,1819,111,-3.036620704,0.2195293107,1,-37.10010118
110,0,1830,114,-3.02782241,0.2185336069,1,-37.11525918
110,0,1831,114,-3.02782241,0.2185336069,1,-37.11525918
110,0,1832,114,-3.02782241,0.2185336069,1,-37.11525918
110,0,1833,114,-3.02782241,0.2185336069,1,-37.11525918
110,0,1834,114,-3.02782241,0.2185336069,1,-37.11525918
110,0,1835,115,-3.088238113,0.2065751109,1,-36.95233329
110,0,1836,115,-3.088238113,0.2065751109,1,-36.95233329
110,0,1837,115,-3.088238113,0.2065751109,1,-36.95233329
110,0,1838,115,-3.088238113,0.2065751109,1,-36.95233329
110,0,1839,115,-3.088238113,0.2065751109,1,-36.95233329
110,0,1845,117,-2.71324666,0.2013587563,1,-37.11610169
110,0,1846,117,-2.71324666,0.2013587563,1,-37.11610169
110,0,1847,117,-2.71324666,0.2013587563,1,-37.11610169
110,0,1848,117,-2.71324666,0.2013587563,1,-37.11610169
110,0,1849,117,-2.71324666,0.2013587563,1,-37.11610169
110,0,1850,118,-2.972349504,0.2311095535,1,-36.77513163
110,0,1851,118,-2.972349504,0.2311095535,1,-36.77513163
110,0,1852,118,-2.972349504,0.2311095535,1,-36.77513163
110,0,1853,118,-2.972349504,0.2311095535,1,-36.77513163
110,0,1854,118,-2.972349504,0.2311095535,1,-36.77513163
110,0,1860,120,-2.7866564,0.2200555707,1,-36.70913823
110,0,1861,120,-2.7866564,0.2200555707,1,-36.70913823
110,0,1862,120,-2.7866564,0.2200555707,1,-36.70913823
110,0,1863,120,-2.7866564,0.2200555707,1,-36.70913823
110,0,1865,121,-2.84011408,0.2286147655,1,-36.84743078
