event_id,shower_event_id,array_id,telescope_id,source_bunch_index,source_coordinate_frame,input_x_m,input_y_m,input_z_m,input_dir_x,input_dir_y,input_dir_z,time_ns,emission_altitude_km,multiplicity,wavelength_nm,eventio_2d
117,1,17,0,31,corsika_nwu_relative,1.153000031,0.3979999924,0,-0.01856666617,-0.02613333426,-0.9994860318,-65,5.508076875,4.409999847,416.7082867,1
117,1,17,0,32,corsika_nwu_relative,-3.365,1.35,0,-0.02266666666,-0.02529999986,-0.9994228996,-64.80000305,5.508076875,4.449999809,293.8571915,1
117,1,17,0,33,corsika_nwu_relative,-0.5459999847,-0.06300000191,0,-0.02009999938,-0.02659999952,-0.9994440605,-64.90000153,5.49540875,4.480000019,370.1715303,1
117,1,17,0,34,corsika_nwu_relative,2.82,2.812000122,0,-0.01703333296,-0.02396666631,-0.9995676388,-65.30000305,5.49540875,4.5,292.9205762,1
117,1,17,0,35,corsika_nwu_relative,0.135,0.025,0,-0.0194666665,-0.02656666748,-0.9994574834,-64.90000153,5.482769375,4.619999886,292.3001091,1
117,1,17,0,36,corsika_nwu_relative,-3.032999878,1.064000015,0,-0.0224333331,-0.02563333325,-0.9994196705,-64.80000305,5.470159375,4.650000095,421.2797533,1
117,1,17,0,37,corsika_nwu_relative,2.363999939,1.736000061,0,-0.01733333245,-0.02503333241,-0.9995363364,-65.19999695,5.45757875,4.760000229,504.1544707,1
117,1,17,0,38,corsika_nwu_relative,2.061999969,1.316000061,0,-0.0175999999,-0.02543333359,-0.9995215783,-65.19999695,5.44502625,4.829999924,406.1718249,1
117,1,17,0,39,corsika_nwu_relative,-0.155,3.133999939,0,-0.01970000006,-0.02370000072,-0.9995249972,-65.19999695,5.42000875,4.550000191,772.9103196,1
117,1,17,0,40,corsika_nwu_relative,0.4190000153,-0.22,0,-0.01913333312,-0.0269666668,-0.9994532077,-64.90000153,5.42000875,4.610000134,872.4561373,1
117,1,17,0,41,corsika_nwu_relative,-1.36,-2.113000031,0,-0.02086666599,-0.0288666673,-0.9993654476,-64.59999847,5.407543125,4.690000057,292.1068711,1
117,1,17,0,42,corsika_nwu_relative,0.02299999952,2.847999878,0,-0.0194666665,-0.02390000038,-0.9995248065,-65.19999695,5.39510625,4.730000019,581.2518423,1
117,1,17,0,43,corsika_nwu_relative,-1.353000031,-2.093999939,0,-0.02083333395,-0.02889999934,-0.9993651796,-64.59999847,5.39510625,4.760000229,341.7112565,1
117,1,17,0,44,corsika_nwu_relative,-1.383999939,-2.013999939,0,-0.02083333395,-0.0288666673,-0.999366143,-64.59999847,5.370318125,4.820000172,406.2775381,1
117,1,17,0,45,corsika_nwu_relative,-0.7680000305,3.69,0,-0.02019999921,-0.02300000004,-0.9995313702,-65.19999695,5.370318125,4.860000134,420.7392784,1
117,1,17,0,46,corsika_nwu_relative,-0.4770000076,-1.39,0,-0.01986666583,-0.02826666646,-0.9994029774,-64.80000305,5.370318125,4.880000114,332.1636502,1
117,1,17,0,47,corsika_nwu_relative,-1.533999939,-2.053999939,0,-0.02096666582,-0.02896666713,-0.9993604611,-64.59999847,5.357966875,4.920000076,399.5868084,1
117,1,17,0,48,corsika_nwu_relative,-1.573999939,-2.485,0,-0.02099999972,-0.02946666628,-0.9993451434,-64.59999847,5.34564375,4.619999886,510.0263673,1
117,1,17,0,49,corsika_nwu_relative,-1.583999939,-2.481999969,0,-0.02099999972,-0.02946666628,-0.9993451434,-64.59999847,5.34564375,4.630000114,503.5992875,1
