event_id,telescope_id,photon_index,mirror_id,surface_x_m,surface_y_m,surface_z_m,mirror_x_m,mirror_y_m,mirror_z_m,input_x_m,input_y_m,input_z_m,input_dir_x,input_dir_y,input_dir_z,u_m,v_m,dir_x,dir_y,dir_z,time_ns,wavelength_nm,weight,relative_efficiency,signal_weight,source_bunch_index,source_coordinate_frame,raw_input_x_m,raw_input_y_m,raw_input_z_m,raw_input_dir_x,raw_input_dir_y,raw_input_dir_z,emission_altitude_km,multiplicity,eventio_2d
110,0,1643,40,-2.64413028,0.1280044488,-8,-1.083447195,-2.733458361,-15.44119012,-1.133269286,-2.73,-15.58752371,-0.3222202804,0.02236666717,-0.946400456,-2.64413028,0.1280044488,-0.1921140682,0.3522350353,0.9159818037,-38.61790673,959.3893909,1,1,1,76,corsika_nwu_relative,1.205999985,2.73,0,-0.02089999989,-0.02236666717,-0.9995313513,5.296634375,4.510000229,1
110,0,1716,36,-3.385344949,0.1874106179,-8,3.065884622,0.8910717182,-15.39098458,2.550325715,0.9340000153,-16.92824265,-0.3178585273,0.02646666579,-0.9477686808,-3.385344949,0.1874106179,-0.6559022298,-0.0715418479,0.7514479549,-37.20210672,400.778313,1,1,1,91,corsika_nwu_relative,-2.713999939,-0.9340000153,0,-0.02546666749,-0.02646666579,-0.9993252546,5.2601725,4.699999809,1
110,0,1734,22,-2.631278173,0.1507955421,-8,-0.9103879685,-1.961214198,-15.65875724,-0.9133811987,-1.961000061,-15.66755643,-0.3219625973,0.02303333394,-0.946472161,-2.631278173,0.1507955421,-0.2117009031,0.2598157443,0.9421669208,-38.01600059,554.2624041,1,1,1,94,corsika_nwu_relative,0.9719999695,1.961000061,0,-0.02116666734,-0.02303333394,-0.9995105991,5.248074375,4.760000229,1
110,0,1747,36,-3.321482853,0.2121074581,-8,2.942767809,0.4411407329,-15.43442454,2.45353749,0.4809999847,-16.89301462,-0.3178952193,0.02590000071,-0.9477720293,-3.321482853,0.2121074581,-0.6441786107,-0.02355243184,0.7645123939,-37.29633272,981.8156457,1,1,1,97,corsika_nwu_relative,-2.611000061,-0.4809999847,0,-0.02543333359,-0.02590000071,-0.9993409506,5.236004375,4.809999943,1
110,0,1790,34,-2.759158665,0.2157374333,-8,0.3392777927,-1.899394325,-15.73360239,0.2217674621,-1.891000061,-16.08071676,-0.3205744392,0.02290000021,-0.946946471,-2.759158665,0.2157374333,-0.3604717414,0.2460741857,0.8997264133,-37.55120177,514.5681515,1,1,1,106,corsika_nwu_relative,-0.2360000038,1.891000061,0,-0.02263333276,-0.02290000021,-0.9994815267,5.19996,4.659999847,1
110,0,1818,24,-3.036620704,0.2195293107,-8,2.022184258,0.262538384,-15.71980235,1.717758139,0.2870000076,-16.62521283,-0.3185932616,0.02559999935,-0.9475457634,-3.036620704,0.2195293107,-0.5480963701,-0.004659819297,0.836402209,-37.10010118,706.9150004,1,1,1,111,corsika_nwu_relative,-1.828000031,-0.2870000076,0,-0.02470000088,-0.02559999935,-0.9993670747,5.176068438,4.760000229,1
110,0,1846,16,-2.71324666,0.2013587563,-8,-0.004609207585,-1.154290664,-15.89523,-0.03570831914,-1.151999969,-15.98700323,-0.320852816,0.02363333292,-0.946834165,-2.71324666,0.2013587563,-0.3203096657,0.1603121939,0.9336496766,-37.11610169,514.9404439,1,1,1,117,corsika_nwu_relative,0.03799999952,1.151999969,0,-0.02233333327,-0.02363333292,-0.9994712041,5.152286563,4.849999905,1
110,0,1863,5,-2.7866564,0.2200555707,-8,0.507816529,-0.9924765887,-15.94008646,0.434137998,-0.9869999695,-16.15801331,-0.3201882442,0.02380000055,-0.9470549341,-2.7866564,0.2200555707,-0.3794811963,0.1396682153,0.9145965292,-36.70913823,969.9263801,1,1,1,120,corsika_nwu_relative,-0.4620000076,0.9869999695,0,-0.02303333394,-0.02380000055,-0.9994513622,5.140436563,4.579999924,1
110,0,1896,10,-2.632739389,0.1647054593,-8,-1.113159187,-1.181780039,-15.8324553,-1.041179453,-1.186999969,-15.62104167,-0.3222124557,0.02336666733,-0.946378958,-2.632739389,0.1647054593,-0.1878036825,0.1664110487,0.968006787,-37.26509658,390.3857536,1,1,1,127,corsika_nwu_relative,1.108000031,1.186999969,0,-0.02089999989,-0.02336666733,-0.9995084736,5.116818438,4.710000038,1
110,0,1908,0,-2.818306564,0.2195546069,-8,0.8546704166,-0.02234334717,-15.95613235,0.7479953118,-0.01399999976,-16.27224803,-0.3196412098,0.02500000037,-0.9472087927,-2.818306564,0.2195546069,-0.4189847363,0.0275938431,0.9075738926,-36.67174272,312.5192217,1,1,1,129,corsika_nwu_relative,-0.7959999847,0.01399999976,0,-0.02360000089,-0.02500000037,-0.9994088452,5.10505,4.739999771,1
