event_id,shower_event_id,array_id,telescope_id,source_bunch_index,source_coordinate_frame,input_x_m,input_y_m,input_z_m,input_dir_x,input_dir_y,input_dir_z,time_ns,emission_altitude_km,multiplicity,wavelength_nm,eventio_2d
110,1,10,0,31,corsika_nwu_relative,3.865,-0.9269999695,0,-0.01856666617,-0.02613333426,-0.9994860318,-65,5.508076875,4.409999847,367.8845482,1
110,1,10,0,32,corsika_nwu_relative,-0.6519999695,0.02400000095,0,-0.02266666666,-0.02529999986,-0.9994228996,-64.80000305,5.508076875,4.449999809,547.6734687,1
110,1,10,0,33,corsika_nwu_relative,2.166999969,-1.388000031,0,-0.02009999938,-0.02659999952,-0.9994440605,-64.90000153,5.49540875,4.480000019,719.1952676,1
110,1,10,0,34,corsika_nwu_relative,-1.291999969,2.351999969,0,-0.02329999954,-0.02316666581,-0.999460062,-64.90000153,5.482769375,4.599999905,346.3948225,1
110,1,10,0,35,corsika_nwu_relative,2.847999878,-1.301000061,0,-0.0194666665,-0.02656666748,-0.9994574834,-64.90000153,5.482769375,4.619999886,783.1638683,1
110,1,10,0,36,corsika_nwu_relative,-1.3,2.08,0,-0.02333333343,-0.02343333326,-0.9994530677,-64.90000153,5.482769375,4.639999866,538.3201965,1
110,1,10,0,37,corsika_nwu_relative,-1.016999969,0.7009999847,0,-0.02306666598,-0.02473333292,-0.999427932,-64.80000305,5.470159375,4.670000076,304.9895046,1
110,1,10,0,38,corsika_nwu_relative,-0.3209999847,-0.2610000038,0,-0.0224333331,-0.02563333325,-0.9994196705,-64.80000305,5.470159375,4.650000095,943.3357669,1
110,1,10,0,39,corsika_nwu_relative,-1.283000031,2.123000031,0,-0.02339999937,-0.02339999937,-0.99945229,-64.90000153,5.44502625,4.789999962,754.0774154,1
110,1,10,0,40,corsika_nwu_relative,-1.636000061,-3.371000061,0,-0.02380000055,-0.02873333357,-0.9993037354,-64.40000153,5.432503125,4.53000021,380.4862783,1
