id,x_m,y_m,shape,size_m
1,-0.25429999828338623,-0.5746999979019165,Square,0.0244
2,-0.25429999828338623,-0.5489000082015991,Square,0.0244
3,-0.25429999828338623,-0.5231000185012817,Square,0.0244
4,-0.25429999828338623,-0.49729999899864197,Square,0.0244
5,-0.22849999368190765,-0.5746999979019165,Square,0.0244
6,-0.22849999368190765,-0.5489000082015991,Square,0.0244
7,-0.22849999368190765,-0.5231000185012817,Square,0.0244
8,-0.22849999368190765,-0.49729999899864197,Square,0.0244
9,-0.20270000398159027,-0.5746999979019165,Square,0.0244
10,-0.20270000398159027,-0.5489000082015991,Square,0.0244
11,-0.20270000398159027,-0.5231000185012817,Square,0.0244
12,-0.20270000398159027,-0.49729999899864197,Square,0.0244
13,-0.1768999993801117,-0.5746999979019165,Square,0.0244
14,-0.1768999993801117,-0.5489000082015991,Square,0.0244
15,-0.1768999993801117,-0.5231000185012817,Square,0.0244
16,-0.1768999993801117,-0.49729999899864197,Square,0.0244
17,-0.14350000023841858,-0.5746999979019165,Square,0.0244
18,-0.14350000023841858,-0.5489000082015991,Square,0.0244
19,-0.14350000023841858,-0.5231000185012817,Square,0.0244
20,-0.14350000023841858,-0.49729999899864197,Square,0.0244
21,-0.1177000030875206,-0.5746999979019165,Square,0.0244
22,-0.1177000030875206,-0.5489000082015991,Square,0.0244
23,-0.1177000030875206,-0.5231000185012817,Square,0.0244
24,-0.1177000030875206,-0.49729999899864197,Square,0.0244
25,-0.09189999848604202,-0.5746999979019165,Square,0.0244
26,-0.09189999848604202,-0.5489000082015991,Square,0.0244
27,-0.09189999848604202,-0.5231000185012817,Square,0.0244
28,-0.09189999848604202,-0.49729999899864197,Square,0.0244
29,-0.06610000133514404,-0.5746999979019165,Square,0.0244
30,-0.06610000133514404,-0.5489000082015991,Square,0.0244
31,-0.06610000133514404,-0.5231000185012817,Square,0.0244
32,-0.06610000133514404,-0.49729999899864197,Square,0.0244
33,-0.03869999945163727,-0.5746999979019165,Square,0.0244
34,-0.03869999945163727,-0.5489000082015991,Square,0.0244
35,-0.03869999945163727,-0.5231000185012817,Square,0.0244
36,-0.03869999945163727,-0.49729999899864197,Square,0.0244
37,-0.012900000438094139,-0.5746999979019165,Square,0.0244
38,-0.012900000438094139,-0.5489000082015991,Square,0.0244
39,-0.012900000438094139,-0.5231000185012817,Square,0.0244
40,-0.012900000438094139,-0.49729999899864197,Square,0.0244
41,0.012900000438094139,-0.5746999979019165,Square,0.0244
42,0.012900000438094139,-0.5489000082015991,Square,0.0244
43,0.012900000438094139,-0.5231000185012817,Square,0.0244
44,0.012900000438094139,-0.49729999899864197,Square,0.0244
45,0.03869999945163727,-0.5746999979019165,Square,0.0244
46,0.03869999945163727,-0.5489000082015991,Square,0.0244
47,0.03869999945163727,-0.5231000185012817,Square,0.0244
48,0.03869999945163727,-0.49729999899864197,Square,0.0244
49,0.06610000133514404,-0.5746999979019165,Square,0.0244
50,0.06610000133514404,-0.5489000082015991,Square,0.0244
51,0.06610000133514404,-0.5231000185012817,Square,0.0244
52,0.06610000133514404,-0.49729999899864197,Square,0.0244
53,0.09189999848604202,-0.5746999979019165,Square,0.0244
54,0.09189999848604202,-0.5489000082015991,Square,0.0244
55,0.09189999848604202,-0.5231000185012817,Square,0.0244
56,0.09189999848604202,-0.49729999899864197,Square,0.0244
57,0.1177000030875206,-0.5746999979019165,Square,0.0244
58,0.1177000030875206,-0.5489000082015991,Square,0.0244
59,0.1177000030875206,-0.5231000185012817,Square,0.0244
60,0.1177000030875206,-0.49729999899864197,Square,0.0244
61,0.14350000023841858,-0.5746999979019165,Square,0.0244
62,0.14350000023841858,-0.5489000082015991,Square,0.0244
63,0.14350000023841858,-0.5231000185012817,Square,0.0244
